nth  vaddr      bind type lib          name
2567 0x005c947c NONE FUNC MFC42.DLL    CDC::Draw3dRect
470  0x005c9480 NONE FUNC MFC42.DLL    CPaintDC::CPaintDC
4133 0x005c9484 NONE FUNC MFC42.DLL    CDC::LineTo
4297 0x005c9488 NONE FUNC MFC42.DLL    CDC::MoveTo
5788 0x005c9474 NONE FUNC MFC42.DLL    CDC::SelectObject
472  0x005c9490 NONE FUNC MFC42.DLL    CPen::CPen
2405 0x005c9494 NONE FUNC MFC42.DLL    CDC::DeleteDC
6119 0x005c9498 NONE FUNC MFC42.DLL    CDC::SetROP2
3693 0x005c949c NONE FUNC MFC42.DLL    CPen::GetRuntimeClass
3571 0x005c94a0 NONE FUNC MFC42.DLL    CBitmap::GetRuntimeClass
1640 0x005c94a4 NONE FUNC MFC42.DLL    CDC::Attach
5785 0x005c94a8 NONE FUNC MFC42.DLL    CDC::SelectGdiObject
783  0x005c94ac NONE FUNC MFC42.DLL    CScrollBar::~CScrollBar
809  0x005c94b0 NONE FUNC MFC42.DLL    CToolTipCtrl::~CToolTipCtrl
2080 0x005c94b4 NONE FUNC MFC42.DLL    CComboBox::Create
2112 0x005c94b8 NONE FUNC MFC42.DLL    CScrollBar::Create
4694 0x005c94bc NONE FUNC MFC42.DLL    CWnd::OnHScroll
5148 0x005c94c0 NONE FUNC MFC42.DLL    CWnd::OnVScroll
2066 0x005c94c4 NONE FUNC MFC42.DLL    CUIntArray::Copy
2814 0x005c94c8 NONE FUNC MFC42.DLL    COleDateTime::Format
1200 0x005c94cc NONE FUNC MFC42.DLL    AfxMessageBox
3711 0x005c94d0 NONE FUNC MFC42.DLL    CScrollBar::GetRuntimeClass
6128 0x005c94d4 NONE FUNC MFC42.DLL    CWnd::SetScrollInfo
6172 0x005c94d8 NONE FUNC MFC42.DLL    CDC::SetTextColor
665  0x005c94dc NONE FUNC MFC42.DLL    CFile::~CFile
1979 0x005c94e0 NONE FUNC MFC42.DLL    CFile::Close
5773 0x005c94e4 NONE FUNC MFC42.DLL    CFile::Seek
5186 0x005c94e8 NONE FUNC MFC42.DLL    CFile::Open
354  0x005c94ec NONE FUNC MFC42.DLL    CFile::CFile
6385 0x005c94f0 NONE FUNC MFC42.DLL    CFile::Write
5442 0x005c94f4 NONE FUNC MFC42.DLL    CFile::Read
4853 0x005c94f8 NONE FUNC MFC42.DLL    CDialog::OnOK
4160 0x005c94fc NONE FUNC MFC42.DLL    CString::LoadStringA
3318 0x005c9500 NONE FUNC MFC42.DLL    CFile::GetLength
5781 0x005c9504 NONE FUNC MFC42.DLL    CDC::SelectClipRgn
5787 0x005c9474 NONE FUNC MFC42.DLL    CDC::SelectObject
5794 0x005c950c NONE FUNC MFC42.DLL    CDC::SelectStockObject
3573 0x005c9510 NONE FUNC MFC42.DLL    CBrush::GetRuntimeClass
3706 0x005c9514 NONE FUNC MFC42.DLL    CRgn::GetRuntimeClass
1816 0x005c9518 NONE FUNC MFC42.DLL    CRuntimeClassconstCDialog::classCDialog
556  0x005c951c NONE FUNC MFC42.DLL    CToolTipCtrl::CToolTipCtrl
324  0x005c9520 NONE FUNC MFC42.DLL    CDialog::CDialog
4234 0x005c9524 NONE FUNC MFC42.DLL    AFX_MSGMAPconstCDialog::messageMap
2122 0x005c9528 NONE FUNC MFC42.DLL    CToolTipCtrl::Create
4710 0x005c952c NONE FUNC MFC42.DLL    CDialog::OnInitDialog
6778 0x005c92f4 NONE FUNC MFC42.DLL    CString::Insert
4202 0x005c9534 NONE FUNC MFC42.DLL    CString::MakeLower
4123 0x005c9538 NONE FUNC MFC42.DLL    CWnd::IsWindowEnabled
1795 0x005c953c NONE FUNC MFC42.DLL    CRuntimeClassconstCButton::classCButton
6662 0x005c9448 NONE FUNC MFC42.DLL    CString::Find
640  0x005c9544 NONE FUNC MFC42.DLL    CDC::~CDC
4476 0x005c9548 NONE FUNC MFC42.DLL    CDialog::OnCtlColor
353  0x005c94ec NONE FUNC MFC42.DLL    CFile::CFile
5645 0x005c9550 NONE FUNC MFC42.DLL    CFile::Rename
5583 0x005c9554 NONE FUNC MFC42.DLL    CFile::Remove
920  0x005c9558 NONE FUNC MFC42.DLL    COleDateTime::operator-
6010 0x005c955c NONE FUNC MFC42.DLL    CFile::SetLength
6143 0x005c9560 NONE FUNC MFC42.DLL    CStringArray::SetSize
5861 0x005c9564 NONE FUNC MFC42.DLL    CStringArray::SetAtGrow
834  0x005c9568 NONE FUNC MFC42.DLL    COleDateTime::operator
5933 0x005c956c NONE FUNC MFC42.DLL    COleDateTime::SetDateTime
5683 0x005c9570 NONE FUNC MFC42.DLL    CString::ReverseFind
2764 0x005c9448 NONE FUNC MFC42.DLL    CString::Find
3507 0x005c9578 NONE FUNC MFC42.DLL    CFile::GetPosition
2582 0x005c957c NONE FUNC MFC42.DLL    CListCtrl::DrawItem
4402 0x005c9580 NONE FUNC MFC42.DLL    CListCtrl::OnChildNotify
3640 0x005c9584 NONE FUNC MFC42.DLL    CListCtrl::GetRuntimeClass
693  0x005c9588 NONE FUNC MFC42.DLL    CListCtrl::~CListCtrl
4243 0x005c958c NONE FUNC MFC42.DLL    AFX_MSGMAPconstCListCtrl::messageMap
3996 0x005c9590 NONE FUNC MFC42.DLL    CListCtrl::InsertColumn
6453 0x005c9594 NONE FUNC MFC42.DLL    CWnd::OnDestroy
6678 0x005c9598 NONE FUNC MFC42.DLL    CListCtrl::GetColumnOrderArray
6891 0x005c959c NONE FUNC MFC42.DLL    CListCtrl::SetColumnOrderArray
6696 0x005c95a0 NONE FUNC MFC42.DLL    CListCtrl::GetHeaderCtrl
3370 0x005c95a4 NONE FUNC MFC42.DLL    CListCtrl::GetMessageMap
686  0x005c95a8 NONE FUNC MFC42.DLL    CImageList::~CImageList
6508 0x005c95ac NONE FUNC MFC42.DLL    CDateTimeCtrl::~CDateTimeCtrl
384  0x005c95b0 NONE FUNC MFC42.DLL    CImageList::CImageList
1087 0x005c95b4 NONE FUNC MFC42.DLL    CToolTipCtrl::AddTool
3286 0x005c95b8 NONE FUNC MFC42.DLL    CListCtrl::GetItemData
6883 0x005c9564 NONE FUNC MFC42.DLL    CStringArray::SetAtGrow
3825 0x005c95c0 NONE FUNC MFC42.DLL    CCmdTarget::GetTypeInfoCount
926  0x005c92e4 NONE FUNC MFC42.DLL    operator+
635  0x005c95c8 NONE FUNC MFC42.DLL    CDatabase::~CDatabase
5712 0x005c95cc NONE FUNC MFC42.DLL    CDatabase::Rollback
1978 0x005c95d0 NONE FUNC MFC42.DLL    CDatabase::Close
2017 0x005c95d4 NONE FUNC MFC42.DLL    CDatabase::CommitTrans
2721 0x005c95d8 NONE FUNC MFC42.DLL    CDatabase::ExecuteSQL
6283 0x005c95dc NONE FUNC MFC42.DLL    CString::TrimRight
6282 0x005c95e0 NONE FUNC MFC42.DLL    CString::TrimLeft
1668 0x005c95e4 NONE FUNC MFC42.DLL    CDatabase::BeginTrans
5200 0x005c95e8 NONE FUNC MFC42.DLL    CDatabase::OpenEx
317  0x005c95ec NONE FUNC MFC42.DLL    CDatabase::CDatabase
2554 0x005c95f0 NONE FUNC MFC42.DLL    CWinApp::DoWaitCursor
5192 0x005c95f4 NONE FUNC MFC42.DLL    CRecordset::Open
928  0x005c95f8 NONE FUNC MFC42.DLL    COleDateTime::operator+
919  0x005c9558 NONE FUNC MFC42.DLL    COleDateTime::operator-
775  0x005c9600 NONE FUNC MFC42.DLL    CRecordset::~CRecordset
6905 0x005c9604 NONE FUNC MFC42.DLL    CListCtrl::SetItemState
6197 0x005c9608 NONE FUNC MFC42.DLL    CWnd::SetWindowPos
6380 0x005c960c NONE FUNC MFC42.DLL    CWndconstCWnd::wndTopMost
6910 0x005c9610 NONE FUNC MFC42.DLL    CDateTimeCtrl::SetRange
3880 0x005c9614 NONE FUNC MFC42.DLL    COleDateTime::GetYear
2096 0x005c9618 NONE FUNC MFC42.DLL    CImageList::Create
2100 0x005c961c NONE FUNC MFC42.DLL    CListCtrl::Create
6613 0x005c9620 NONE FUNC MFC42.DLL    CDateTimeCtrl::Create
2393 0x005c9624 NONE FUNC MFC42.DLL    CException::Delete
1994 0x005c9628 NONE FUNC MFC42.DLL    CRecordset::Close
1848 0x005c962c NONE FUNC MFC42.DLL    CRuntimeClassconstCListCtrl::classCListCtrl
3301 0x005c9630 NONE FUNC MFC42.DLL    CListCtrl::GetItemText
936  0x005c9634 NONE FUNC MFC42.DLL    COleDateTime::operator>
2614 0x005c9638 NONE FUNC MFC42.DLL    CString::Empty
6919 0x005c963c NONE FUNC MFC42.DLL    CDateTimeCtrl::SetTime
6322 0x005c9640 NONE FUNC MFC42.DLL    CRecordset::Update
6766 0x005c9644 NONE FUNC MFC42.DLL    CDateTimeCtrl::GetTime
2609 0x005c9648 NONE FUNC MFC42.DLL    CRecordset::Edit
3054 0x005c964c NONE FUNC MFC42.DLL    COleDateTime::GetDay
3425 0x005c9650 NONE FUNC MFC42.DLL    COleDateTime::GetMonth
5934 0x005c9654 NONE FUNC MFC42.DLL    COleDateTimeSpan::SetDateTimeSpan
6741 0x005c9658 NONE FUNC MFC42.DLL    CDateTimeCtrl::GetRuntimeClass
3092 0x005c965c NONE FUNC MFC42.DLL    CWnd::GetDlgItem
4881 0x005c9660 NONE FUNC MFC42.DLL    CWnd::OnParentNotify
2862 0x005c9664 NONE FUNC MFC42.DLL    CImageList::FromHandle
1911 0x005c9668 NONE FUNC MFC42.DLL    CRuntimeClassconstCRecordset::classCRecordset
3316 0x005c966c NONE FUNC MFC42.DLL    CRecordset::GetLBReallocSize
3314 0x005c9670 NONE FUNC MFC42.DLL    CRecordset::GetLBFetchSize
